Time resolution is 1 ps
Starting simulation...
Time:                    0 | TX Debug = 0xzX | XADC Debug = 0xzX
Time:                42000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:               208000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:               708000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:               792000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:               958000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1042000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1208000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1375000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1458000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1542000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1625000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1792000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1875000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              1958000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              2209000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              2292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              2375000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              2709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              3042000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              3125000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              3209000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              3625000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              3792000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              4042000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              4459000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              4542000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              4709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              4875000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              5292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              5709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              5875000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              6125000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              6292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              6459000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              6542000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              6709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              6792000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              7042000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              7126000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              7292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              7626000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              7792000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              7959000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              8376000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              8459000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              8709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              9292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              9709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              9792000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:              9959000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             10126000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             10292000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             10376000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             10709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             10959000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             11043000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             11293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             11459000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             11626000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             11709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             11959000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             12043000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             12209000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             12293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             12376000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             12793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             13043000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             13126000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             13293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             13459000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             13709000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             13876000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             14126000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             14293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             14543000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             14626000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             14793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             14876000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             15126000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             15210000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             15293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             15460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             15793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             15876000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             16210000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             16460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             16543000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             16793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             16960000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17376000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17626000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17960000 | TX Debug = 0xzX | XADC Debug = 0xzZ
